disease_id,disease_name,context_summary,domain,body_system,symptoms,urgency_classification,recommended_tests,prevalence,disease_synonyms,link,notes,TRUE,Medical Taxonomy (set of specialties/domains),Explanation,,,
378,injury to the hand,N/A,,,"wrist swelling, hand or finger swelling, hand or finger pain, joint pain, wrist pain",,N/A,"0.888, 0.587, 0.579, 0.571, 0.547",,N/A,,FALSE,,,,,
379,injury to the hip,N/A,,,"hand or finger swelling, neck pain, leg pain, hip pain",,N/A,"0.937, 0.750, 0.500, 0.437",,N/A,,FALSE,,,,,
380,injury to the knee,N/A,,,"foot or toe swelling, leg pain, knee weakness, knee pain, problems with movement",,N/A,"0.716, 0.698, 0.679, 0.566, 0.358",,N/A,,FALSE,,,,,
381,injury to the leg,N/A,,,"leg swelling, problems with movement, knee swelling, knee pain, ankle swelling",,N/A,"0.523, 0.516, 0.515, 0.511, 0.509",,N/A,,FALSE,,,,,
382,injury to the shoulder,N/A,,,"shoulder stiffness or tightness, bones are painful, muscle cramps/contractures or spasms, arm stiffness or tightness, elbow pain",,N/A,"0.682, 0.678, 0.672, 0.525, 0.513",,N/A,,FALSE,,,,,
383,injury to the spinal cord,N/A,,,"retention of urine, headache, back pain, neck pain",,N/A,"0.965, 0.793, 0.689, 0.586",,N/A,,FALSE,,,,,
384,injury to the trunk,N/A,,,"symptoms of the scrotum and testes, neck pain, back pain, shoulder pain, rib pain",,N/A,"0.683, 0.538, 0.516, 0.516, 0.509",,N/A,,FALSE,,,,,
385,insect bite,N/A,,,"leg swelling, hand or finger swelling, skin rash, peripheral edema, abnormal appearing skin",,N/A,"0.687, 0.677, 0.536, 0.524, 0.515",,https://www.nhs.uk/search/click?url=%2Fconditions%2Finsect-bites-and-stings%2F&pos=1&hash=tWDojFAYuBQ5rke%2BzPM3FhEs3i0lH59Dfk0sZixeFsM%3D&id=68425bd6-9829-4e31-ad06-818e4688fcb2&searchText=insect%20bite&documentId=f071fbbc-d52b-468a-a9a2-163aba8f76c7&pageIndex=0,,FALSE,,,,,
386,insulin overdose,N/A,,,"depressive or psychotic symptoms, emotional symptoms",,N/A,"1.0, 1.0",,N/A,,FALSE,,,,,
387,interstitial lung disease,“Interstitial lung disease” (ILD) is a term for a group of conditions that cause inflammation and scarring in your lungs. ILD is the result of damage to the tissues between the small air sacs in your lungs (alveoli) and the blood vessels around them. This tissue is sometimes referred to as the intersitium or parenchyma.,,,"sore throat, shortness of breath, wheezing, cough, nasal congestion",,How doctors diagnose interstitial lung disease Healthcare providers diagnose interstitial lung disease by: Examining you Listening to your lungs for any unusual sounds Getting images of your lungs Testing your lung function They might ask you about: Your medical history and any ongoing conditions Medications you’re taking or have taken in the past Whether anyone in your family has certain conditions or connective tissue diseases If your work or hobbies expose you to potential causes of ILD Tests Tests your provider may recommend include: Pulmonary function tests : These are breathing or exercise tests that check how well your lungs are working. Imaging tests : X-rays or high-resolution CT scans can provide pictures of your lungs. Blood tests : Your provider will test a sample of your blood for signs of known causes of ILD. Arterial blood gas tests can also check how well your lungs are working. Bronchoscopy : Your provider might use a thin tube (bronchoscope) to get a closer look at your airways. Biopsy : Your provider might take a small sample of tissue from your lungs. They’ll send the sample to a lab to help identify the type of ILD. Advertisement,"0.659, 0.643, 0.639, 0.534, 0.516",,https://my.clevelandclinic.org/health/diseases/17809-interstitial-lung-disease,,FALSE,,,,,
388,intertrigo (skin condition),N/A,,,"acne or pimples, skin lesion, skin rash, skin swelling, abnormal appearing skin",,N/A,"0.847, 0.790, 0.590, 0.561, 0.552",,N/A,,FALSE,,,,,
389,intestinal cancer,N/A,,,"throat feels tight, foot or toe swelling, neck mass, sharp abdominal pain, diarrhea",,N/A,"0.938, 0.755, 0.734, 0.714, 0.510",,N/A,,FALSE,,,,,
390,intestinal disease,N/A,,,"fainting, burning abdominal pain, regurgitation, nausea, vomiting",,N/A,"0.704, 0.684, 0.673, 0.663, 0.516",,N/A,,FALSE,,,,,
391,intestinal malabsorption,N/A,,,"cough, flatulence, vomiting, diarrhea, nasal congestion",,N/A,"0.844, 0.838, 0.577, 0.565, 0.534",,N/A,,FALSE,,,,,
392,intestinal obstruction,N/A,,,"vaginal itching, nausea, stomach bloating, sharp abdominal pain, retention of urine ",,N/A,"0.770, 0.658, 0.530, 0.521, 0.512",,N/A,,FALSE,,,,,
393,intracerebral hemorrhage,N/A,,,"diminished vision, focal weakness, nausea, headache, seizures",,N/A,"0.776, 0.522, 0.504, 0.499, 0.497",,N/A,,FALSE,,,,,
394,intracranial abscess,N/A,,,"headache, depressive or psychotic symptoms, seizures",,N/A,"1.000, 0.916, 0.666",,N/A,,FALSE,,,,,
395,intracranial hemorrhage,N/A,,,"depressive or psychotic symptoms, abnormal involuntary movements, vomiting, headache, difficulty speaking",,N/A,"0.785, 0.711, 0.708, 0.571, 0.527",,N/A,,FALSE,,,,,
396,intussusception,"Intussusception (pronounced “in-tuh-sus-SEP-shun”) is a medical emergency where one segment of your intestine folds partially inside the other, causing a bowel obstruction (blockage). Sometimes, the folding is described as “telescoping” because it resembles how the pieces fit into each other on a telescope. Usually, intussusception affects the small intestine (bowel).",,,"blood in stool, emotional symptoms, sharp abdominal pain",,"How is intussusception diagnosed? Diagnosis typically happens alongside emergency medical treatment. Imaging tests that confirm a diagnosis include an ultrasound (in children) and a CT scan (in adults). An ultrasound can identify an intussusception with 100% accuracy. It’s the first test providers use to check for an intussusception in children. Advertisement Your child’s provider may also order an air or contrast enema. During this test, your child’s provider inserts air or a liquid solution containing a safe substance called barium into your child’s rectum. The air or liquid creates pressure that helps lengthen the telescoped intestine so that one portion no longer folds inside the other. An X-ray records a video of the process. In addition to confirming the diagnosis, this procedure usually fixes intussusception in children.","1.00, 0.75, 0.75",,https://my.clevelandclinic.org/health/diseases/10793-intussusception,,FALSE,,,,,
397,iridocyclitis,Iridocyclitis (EAR-uh-do-sai-KLY-tus) is painful inflammation in your eye. It’s a type of anterior uveitis.,,,"headache, foreign body sensation in eye, lacrimation, pain in eye, eye redness",,"How doctors diagnose iridocyclitis An eye care specialist will diagnose iridocyclitis with an eye exam and some tests. Your provider will check your vision with a visual acuity test . They’ll also look inside your eyes for signs of inflammation and damage. They might use a few other tests, including: Optical coherence tomography (OCT) Tonometry Blood tests Eye ultrasound Biopsies","0.693, 0.677, 0.667, 0.554, 0.532",,https://my.clevelandclinic.org/health/diseases/iridocyclitis,,FALSE,,,,,
398,iron deficiency anemia,N/A,,,"intermenstrual bleeding, heartburn, weakness, heavy menstrual flow, rectal bleeding",,N/A,"0.661, 0.661, 0.524, 0.524, 0.521",,N/A,,FALSE,,,,,
399,irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a group of symptoms that affect your digestive system . It’s a common but uncomfortable gastrointestinal disease , or condition that affects your intestines.",,,"flatulence, insomnia, nausea, lower abdominal pain, sharp abdominal pain",,"How is IBS diagnosed? The first step in diagnosing IBS is a detailed medical history. Your provider will ask about your symptoms . They may ask: Do you have pain related to bowel movements? Do you notice a change in how often you have a bowel movement? Has there been a change in how your poop looks? How often do you have symptoms? When did your symptoms start? What medicines do you take? Have you been sick or had a stressful event in your life recently? Depending on your symptoms, you may need other tests to confirm a diagnosis. There isn’t a single test to diagnose IBS. Instead, your provider will determine if you have IBS by: Asking about your symptoms. Making sure you’re up to date on your colon cancer screening. Checking that you don’t have symptoms suggesting other disorders. Advertisement Lab tests Most lab tests exclude other conditions that may be causing your symptoms, like an infection, food intolerance or a different digestive condition, like inflammatory bowel disease (IBD). Not everyone needs the same tests. Blood test : To check for a digestive disease condition or another condition that may cause your symptoms. Stool test : To check for an infection or signs of inflammation in your bowel caused by a digestive condition. Hydrogen breath test : To see if you have an overgrowth of bacteria in your gut ( SIBO ) or a food intolerance. Imaging tests You may need imaging procedures to rule out conditions involving inflammation or abnormal growths in your GI tract. Colonoscopy : Can help your provider determine if you have certain bowel disorders that may be causing your symptoms, including polyps , IBD and cancerous growths. For this procedure, a provider inserts a scope that allows them to view your entire colon. Flexible sigmoidoscopy : Similar to a colonoscopy, except a provider inserts a scope that allows them to view the lining of your rectum and the lower part of your colon only. Upper endoscopy : Can help your provider diagnose celiac disease or other GI conditions. This procedure uses a scope that allows your provider to see inside your esophagus (food tube), stomach and the first part of your small intestine (duodenum). Advertisement","0.682, 0.670, 0.662, 0.511, 0.503",,https://my.clevelandclinic.org/health/diseases/4342-irritable-bowel-syndrome-ibs,,FALSE,,,,,
400,ischemia of the bowel,N/A,,,"nausea, blood in stool, retention of urine, burning abdominal pain, vomiting",,N/A,"0.699, 0.692, 0.671, 0.671, 0.639",,N/A,,FALSE,,,,,
401,ischemic heart disease,N/A,,,"muscle pain, sharp chest pain, peripheral edema, chest tightness, fatigue",,N/A,"0.637, 0.538, 0.533, 0.524, 0.520",,N/A,,FALSE,,,,,
402,itching of unknown cause,N/A,,,"problems during pregnancy, fluid retention, vaginal itching, allergic reaction, itchy scalp ",,N/A,"0.685, 0.668, 0.660, 0.541, 0.521",,N/A,,FALSE,,,,,
403,jaw disorder,N/A,,,"difficulty in swallowing, neck mass, jaw swelling, headache, peripheral edema",,N/A,"0.755, 0.678, 0.663, 0.535, 0.511",,N/A,,FALSE,,,,,
404,joint effusion,N/A,,,"wrist pain, knee stiffness or tightness, ankle swelling, knee swelling, ankle pain",,N/A,"0.759, 0.699, 0.541, 0.536, 0.534",,N/A,,FALSE,,,,,
405,juvenile rheumatoid arthritis,N/A,,,"wrist swelling, hand or finger pain, joint pain, back pain, knee pain",,N/A,"0.939, 0.909, 0.666, 0.606, 0.606",,N/A,,FALSE,,,,,
406,kaposi sarcoma,"Kaposi sarcoma (KS) is a type of soft tissue sarcoma . It causes lesions that can form on your skin or mucus membranes that line the inside of your mouth , nose and anus . These tumors may also develop in the lining of internal organs like your liver , belly and lungs .",,,"depression, elbow weakness",,"How doctors diagnose Kaposi sarcoma A healthcare provider will start with a physical examination . They’ll check your skin for lesions and ask about your symptoms and health history. Because Kaposi sarcoma is so rare, it can take a while to get an accurate diagnosis. You may need to see several different types of healthcare providers and specialists. Ask your care team what to expect in your situation. Tests that are used To get an accurate diagnosis, your healthcare provider will need to run tests, which may include: Biopsy . Your provider takes a small tissue sample and sends it to a pathologist for testing. Bronchoscopy . This test helps your provider look for KS in your windpipe and the airways that lead to your lungs. Chest X-ray . They’ll take images of your lungs to look for KS lesions. You may also need a CT scan . Endoscopy . This test helps your healthcare provider look inside your stomach or intestines for KS lesions. Depending on your situation, you might need an upper endoscopy , a colonoscopy or both. Immunohistochemistry . This lab test looks for a specific protein called LANA-1. It’s associated with HHV-8. It helps your provider tell the difference between KS and similar lesions.","1.0, 1.0",,https://my.clevelandclinic.org/health/diseases/21830-kaposi-sarcoma,,FALSE,,,,,
407,kidney cancer,"Kidney cancer, also known as renal cancer, is a cancerous tumor in your kidneys . Your kidneys filter your blood, balance fluids in your body and get rid of waste.",,,"groin mass, involuntary urination, blood in urine, kidney mass, retention of urine",,"How doctors diagnose this condition A healthcare provider will do a physical exam. They’ll ask you to describe your symptoms and how long you’ve had symptoms. They may do tests, including: Blood tests : A CBC may detect changes in your red or white blood cell levels that could be signs of kidney cancer. A BMP checks kidney function and may show changes in certain chemicals. Imaging tests : Tests like CT scan, MRI and ultrasound can detect tumors in your kidneys. Biopsy : Your provider may use a biopsy needle to get a small sample of kidney tissue. A medical pathologist will then cut the sample into tiny sections. They’ll look at the sections under a microscope for signs of cancer. If tests show you have kidney cancer, your provider will refer you to an oncologist. Your oncologist will use test results and other information to plan your treatment. They may call this process cancer staging. Kidney cancer stages Kidney cancer may spread to nearby lymph nodes and tissue. It may also spread to your adrenal glands on top of your kidneys. Or it could reach one of the major veins that carry blood from your kidneys to other areas of your body. The cancerous tumor may even spread to those other areas of your body. There are four kidney cancer stages. Stage Tumor location Stage I The tumor is in your kidney only. It measures about 3 inches (7 centimeters). Stage II The tumor is larger than 3 inches but hasn’t spread outside of your kidney. Stage III The tumor is in one of the major veins, your adrenal glands or the tissue that surrounds your kidney and adrenal glands. Stage IV The tumor is in your adrenal gland or the tissue that surrounds your kidney and adrenal gland. It may have spread to your bones, liver or lungs. Stage Stage I Tumor location The tumor is in your kidney only. It measures about 3 inches (7 centimeters). Stage II Tumor location The tumor is larger than 3 inches but hasn’t spread outside of your kidney. Stage III Tumor location The tumor is in one of the major veins, your adrenal glands or the tissue that surrounds your kidney and adrenal glands. Stage IV Tumor location The tumor is in your adrenal gland or the tissue that surrounds your kidney and adrenal gland. It may have spread to your bones, liver or lungs.","0.787, 0.787, 0.612, 0.537, 0.512",,https://my.clevelandclinic.org/health/diseases/9409-kidney-cancer-overview,,FALSE,,,,,
408,kidney disease due to longstanding hypertension,N/A,,,"feeling cold, shortness of breath, symptoms of the kidneys, difficulty speaking",,N/A,"0.941, 0.647, 0.647, 0.411",,N/A,,FALSE,,,,,
409,kidney failure,"Kidney failure means both of your kidneys no longer function well on their own to keep you alive. It’s sometimes temporary and develops quickly (acute kidney failure). Other times, it’s a result of long-term chronic kidney disease (CKD). CKD slowly gets worse and progresses to chronic kidney failure. Another name for chronic kidney failure is end-stage kidney disease (ESKD). You may hear healthcare providers call it renal failure. “Renal” is another word for kidney.",,,"swollen abdomen, sharp chest pain, nausea, arm swelling, vomiting",,"How is kidney failure diagnosed? Healthcare providers may use many different kidney function tests to check on your kidneys and diagnose kidney failure. If your provider thinks you’re at risk of kidney failure, they may recommend: Blood tests to see how well your kidneys remove waste from your blood Pee tests to see if you have protein or blood in your pee Imaging tests, like a kidney ultrasound, to look at your kidneys and surrounding areas Advertisement","0.765, 0.687, 0.535, 0.514, 0.507",,https://my.clevelandclinic.org/health/diseases/17689-kidney-failure,,FALSE,,,,,
410,kidney stone,N/A,,,"vomiting, back pain, side pain, frequent urination, painful urination",,N/A,"0.705, 0.526, 0.524, 0.513, 0.509",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fkidney-stones%2F&pos=1&hash=PtwVPjAQitQ3hW0vN2gY7HZJZUtfF2suihIB5CJZgok%3D&id=26d0cc2f-2cbf-4194-91af-ca8e2e830cf2&searchText=kidney%20stone&documentId=ae1245b1-7023-4669-b1ec-66b761db6ac1&pageIndex=0,,FALSE,,,,,
411,knee ligament or meniscus tear,N/A,,,"knee lump or mass, knee stiffness or tightness, leg weakness, knee weakness, knee swelling",,N/A,"0.867, 0.566, 0.566, 0.556, 0.528",,N/A,,FALSE,,,,,
412,labyrinthitis,Labyrinthitis ( la-br-uhn-THAI-tuhs ) is a type of inner ear infection . It happens when your labyrinth gets inflamed. Your labyrinth is the part of your inner ear responsible for your hearing and sense of balance.,,,"ear pain, diminished hearing, vomiting, loss of sensation, sweating",,"How is labyrinthitis diagnosed? Your healthcare provider will perform a physical examination and ask you about your symptoms and medical history. They may also order tests to assess your hearing, balance and other nervous system functions. What tests will be done to diagnose labyrinthitis? There are other conditions that have the same symptoms as labyrinthitis (like vestibular neuritis or BPPV ), so your healthcare provider will need to rule them out. They may do this by running certain tests, including: Electrocardiogram (EKG) . Magnetic resonance imaging (MRI) . Vestibular testing .","0.698, 0.668, 0.535, 0.527, 0.516",,https://my.clevelandclinic.org/health/diseases/22032-labyrinthitis,,FALSE,,,,,
413,lactose intolerance,"Lactose intolerance is a reaction in your digestive system to lactose, the sugar in milk. It causes uncomfortable symptoms after you eat dairy products. Many people have difficulty digesting lactose, but not everyone experiences noticeable symptoms from it. If you do, it’s called lactose intolerance.",,,"nasal congestion, flatulence, impotence, burning abdominal pain, shortness of breath ",,"How do you know if you’re lactose intolerant? You might suspect you’re lactose intolerant if you notice a pattern of gastrointestinal symptoms after you eat dairy products. However, many people with lactase deficiency can tolerate some lactose, sometimes. If you’re not sure whether lactose is affecting you, visit a healthcare provider. How do you test for lactose intolerance? Healthcare providers have several ways of testing for lactose intolerance. Common tests include: Hydrogen breath test . A breath test measures the amount of hydrogen and methane gases in your breath when you exhale. Bacteria in your colon produce these gases. If you have higher levels of these gases after ingesting lactose, it’s because your gut bacteria are fermenting the lactose, producing gas in your colon that can later be measured in your breath. Blood sugar test . If a breath test is inconclusive, a healthcare provider might suggest a blood glucose (blood sugar) test. This test measures the sugar content in your blood before and after you ingest lactose. If your blood sugar doesn’t rise, it shows you’re not absorbing the lactose. Stool acidity test . Healthcare providers use this test for small children and infants. After feeding a child lactose, they’ll take a poop (stool) sample and analyze the content. Levels of lactic acid and other byproducts in the sample can show whether or not the body is absorbing the lactose.","0.854, 0.744, 0.737, 0.569, 0.554",,https://my.clevelandclinic.org/health/diseases/7317-lactose-intolerance,,FALSE,,,,,
414,laryngitis,"Laryngitis is when you have inflammation of your larynx , also known as your voice box. It can develop because of overuse, irritation or infection of your vocal cords.",,,"throat feels tight, difficulty speaking, sore throat, fever, ear pain",,"How doctors diagnose laryngitis Healthcare providers usually diagnose laryngitis by asking about your symptoms and recent activities. They may also look in your throat and listen to your lungs. Tests generally aren’t necessary, but your provider might recommend them if they want to rule out certain conditions as the cause. Some tests they might recommend include: Biopsy CT scan Laryngoscopy Throat culture Your provider might recommend other tests, depending on what they suspect or want to rule out. They can tell you more about the tests and how they can help.","0.691, 0.660, 0.516, 0.514, 0.513",,https://my.clevelandclinic.org/health/diseases/22268-laryngitis,,FALSE,,,,,
415,lateral epicondylitis (tennis elbow),N/A,,,"joint pain, hand or finger stiffness or tightness, hand or finger pain, arm pain, elbow pain",,N/A,"0.741, 0.685, 0.670, 0.543, 0.525",,N/A,,FALSE,,,,,
416,leukemia,N/A,,,"muscle stiffness or tightness, mouth pain, fatigue, fever",,N/A,"1.0, 0.6, 0.5, 0.4",,N/A,,FALSE,,,,,
417,lewy body dementia,Lewy body dementia (LBD) is a progressive brain disorder that happens when certain proteins called Lewy bodies build up in your brain cells. This makes it harder to think clearly and do everyday activities.,,,"hostile behavior, depressive or psychotic symptoms, abnormal involuntary movements, disturbance of memory, delusions or hallucinations ",,"How doctors diagnose Lewy body dementia To make a diagnosis, your provider may use the following steps: Ask about your medical history and do a physical exam Do a neurological exam to check your thinking and memory and evaluate abnormal movement problems Order blood tests , cerebrospinal fluid test, a skin biopsy and brain scans (like a CT , MRI , SPECT or PET scan) Consider a neuropsychological assessment to clarify your cognitive profile Recommend a sleep study A team of specialists may work together to make a diagnosis. This team might include: Neurologists Psychiatrists Neuropsychologists Geriatricians They combine your test results and symptoms to determine if you have “probable LBD.” This means you most likely have the condition based on the information they have, even though there isn’t a single test that can say for sure.","0.835, 0.734, 0.632, 0.531, 0.481",,https://my.clevelandclinic.org/health/diseases/17815-lewy-body-dementia,,FALSE,,,,,
418,lice,N/A,,,"nasal congestion, leg lump or mass, itchy scalp, cough, itching of skin",,N/A,"0.938, 0.846, 0.815, 0.584, 0.584",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fpubic-lice%2F&pos=1&hash=hdUd0VCu%2B5VjMhT0xbNMu5%2FL6hyExvxwU7KvZZUdXEE%3D&id=c279ed06-e3f2-4e41-9ea3-07cf069ad944&searchText=lice&documentId=70c1c650-c715-4050-a56d-4de0afa1bee1&pageIndex=0,,FALSE,,,,,
419,lichen planus,Lichen planus (like-en play-nes) is a skin condition that causes a rash to develop on one area of your body or several parts of your body at the same time. It can affect your:,,,"difficulty speaking, abnormal appearing skin, skin growth",,"How is lichen planus diagnosed? Your healthcare provider can typically diagnose lichen planus after assessing your symptoms and conducting a physical exam. They may look for characteristics known as the “six Ps” that help diagnose lichen planus: Advertisement Pruritic (They’re itchy). Polygonal (Your rash shape has many sharp angles). Planar (The top is flat). Purple papules (bumps). Plaques (raised, discolored, patches). If there’s any doubt, your healthcare provider may perform the following tests: Allergy test . An allergy test can determine if you have an allergy that’s causing your lichen planus flare-up. Biopsy . Your healthcare provider will use a thin blade (scalpel) or a punch tool to collect a small sample of skin from your rash. Your skin sample goes to a laboratory for testing and pathologists examines it under a microscope. Hepatitis C test . Lichen planus is sometimes associated with the hepatitis C virus.","1.0, 1.0, 1.0",,https://my.clevelandclinic.org/health/diseases/17723-lichen-planus,,FALSE,,,,,
420,lichen simplex,N/A,,,"vaginal itching, difficulty speaking, itching of skin, skin lesion, skin rash",,N/A,"0.932, 0.813, 0.610, 0.559, 0.542",,N/A,,FALSE,,,,,
421,lipoma,"A lipoma is a round or oval-shaped lump of tissue that grows just beneath the skin. It’s made of fat, moves easily when you touch it and doesn’t usually cause pain. Lipomas can appear anywhere on the body, but they’re most common on the back, trunk (torso), arms, shoulders and neck.",,,"bones are painful, groin mass, arm lump or mass, abnormal appearing skin, shoulder lump or mass ",,"How are lipomas diagnosed? Providers usually diagnose a lipoma during a physical examination. Your provider will touch the lipoma and ask if it’s painful or tender. You may need a biopsy to confirm that the lipoma isn’t cancer. During this procedure, your provider removes a sample of the lipoma and sends it to a lab for testing. Oftentimes, these may be mistaken for a cyst. To see a clear picture of this lump, your provider may order an imaging test such as an ultrasound , magnetic resonance imaging (MRI) scan, or computed tomography (CT) scan . These imaging studies help your provider determine if it is a lipoma versus a cyst. It can also help identify the lipoma’s location and how deep it is if it has blood vessels and whether it’s pressing against nerves or other tissues. What are the types of lipomas? All lipomas are made of fat. Some lipomas also contain blood vessels or other tissues. There are several types of lipomas, including: Angiolipoma : This type contains fat and blood vessels. Angiolipomas are often painful. Conventional: The most common type, a conventional lipoma contains white fat cells. White fat cells store energy. Fibrolipoma: Fat and fibrous tissue make up this type of lipoma. Hibernoma: This kind of lipoma contains brown fat. Most other lipomas contain white fat. Brown fat cells generate heat and help regulate body temperature. Myelolipoma: These lipomas contain fat and tissues that produce blood cells. Spindle cell : The fat cells in these lipomas are longer than they are wide. Pleomorphic: These lipomas have fat cells of various sizes and shapes. Advertisement","0.682, 0.656, 0.521, 0.516, 0.511",,https://my.clevelandclinic.org/health/diseases/15008-lipomas,,FALSE,,,,,
422,liver cancer,"Liver cancer is a life-threatening malignant (cancerous) tumor in your liver. Your liver is the largest organ in your body. It’s also one of the most important organs, as no one can live without their liver.",,,"groin mass, decreased appetite, sharp abdominal pain, stomach bloating, upper abdominal pain ",,"How doctors diagnose liver cancer Your healthcare provider will do a physical examination . They’ll ask about your symptoms and may do the following tests: Angiogram . This test helps healthcare providers examine your liver’s blood vessels. Blood tests . Healthcare providers may do blood tests for cancer. They may do liver function tests . CT scan . This test takes detailed images of your liver. It gives providers information about liver tumor size and location. ERCP test . Your provider may do this test to diagnose bile cancer in your liver. Liver ultrasound . This test takes pictures of the inside of your liver. MRI . This test uses a large magnet, radio waves and a computer. It produces very clear images of your liver’s insides. Your provider may do a liver biopsy if blood and other tests detect cancer in your liver. Biopsies are the most reliable way to confirm a liver cancer diagnosis. What are liver cancer stages? Cancer staging is how healthcare providers diagnose disease and plan treatment. Providers use the Barcelona Clinic Liver Cancer system (BCLC) to stage liver cancer. This system considers factors like your symptoms, liver function and tumor size. Your provider may use different terms for each BCLC stage. For example, they may use terms like stage I to stage V, stage O to C, or early-/advanced-stage liver cancer: Stage I/stage O/very early stage . You have a single tumor in your liver. The tumor measures less than 2 centimeters (cm) or about 4/5 of an inch. Blood tests show your bilirubin level is normal. Stage II/stage A/early stage . You have a single tumor that measures 5 cm (2 inches). Stage II liver cancer includes cases where you have several tumors that are smaller than 3 cm (1 1/4 inch). This cancer stage includes liver cancer that spreads to your blood vessels. Stage III/stage B/intermediate stage . You have more than one tumor and/or one that is 5 cm or larger. You may have liver cancer in your lymph nodes, large blood vessels or another organ. Stage IV/stage C/ advanced stage . There’s liver cancer in other places in your body, like your lungs or bones. Advertisement","0.938, 0.653, 0.571, 0.571, 0.489",,https://my.clevelandclinic.org/health/diseases/9418-liver-cancer,,FALSE,,,,,
423,liver disease,N/A,,,"upper abdominal pain, nausea, blood in stool, peripheral edema, jaundice",,N/A,"0.524, 0.521, 0.511, 0.510, 0.509",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fliver-disease%2F&pos=1&hash=bSwhewlksraG7x8LJqEWVJd3759eovy%2FiAXlOTkg4hU%3D&id=5fb661c2-e1a9-45e1-94e0-be66bbaac7bd&searchText=liver%20disease&documentId=52ebc307-7479-411a-ae3b-83950c597640&pageIndex=0,,FALSE,,,,,
424,lumbago,N/A,,,"hip pain, side pain, muscle pain, low back cramps or spasms, low back pain",,N/A,"0.762, 0.743, 0.679, 0.660, 0.602",,N/A,,FALSE,,,,,
425,lung cancer,N/A,,,"hemoptysis, fatigue, cough, shortness of breath, smoking problems",,N/A,"0.666, 0.588, 0.568, 0.529, 0.509",,https://www.nhs.uk/search/click?url=%2Fconditions%2Flung-cancer%2F&pos=1&hash=FDgwESKdJ8QmwXaTGrbl0Li7OQgsA8K3c3WgoGtel2Y%3D&id=114f0b03-cb17-49ec-8dfc-2e2f2091ace2&searchText=lung%20cancer&documentId=585fd23f-3618-408d-b4b5-bdd48d154170&pageIndex=0,,FALSE,,,,,
426,lung contusion,N/A,,,"shortness of breath, sharp chest pain, ache all over, back pain",,N/A,"1.000, 0.800, 0.733, 0.600",,N/A,,FALSE,,,,,
427,lyme disease,Lyme disease (also called borreliosis) is an infection you can get from the bite of a deer tick . A bacterium called Borrelia burgdorferi causes the infection. Lyme disease is the most common tick-borne infectious disease in the U.S.,,,"hip pain, depressive or psychotic symptoms, headache, fever, abnormal appearing skin",,"How doctors diagnose Lyme disease Your healthcare provider considers many factors when assessing you for Lyme disease, like: Your symptoms Your history of travel or activity in wooded areas The likelihood you were exposed to infected ticks Blood test results Many people don’t remember or know that they’ve been bitten by a tick. This is because the tick is tiny, and its bite is usually painless. Your provider may confirm the diagnosis using a blood test. It checks for antibodies to the bacterium that causes Lyme disease. But it can take several weeks after the initial infection for your body to make enough antibodies for the test to detect. To be on the safe side, your provider may prescribe treatment without this blood test if: You have a bullseye rash and have been in an area known for Lyme disease You have a known tick bite from an area known for Lyme disease, but no symptoms Advertisement","0.834, 0.687, 0.677, 0.549, 0.521",,https://my.clevelandclinic.org/health/diseases/11586-lyme-disease,,FALSE,,,,,
428,lymphadenitis,N/A,,,"cough, sharp abdominal pain, neck swelling, fever, neck pain",,N/A,"0.766, 0.651, 0.540, 0.532, 0.507",,N/A,,FALSE,,,,,
429,lymphangitis,Lymphangitis is inflammation of your lymph vessels. Your lymph vessels are part of your lymphatic system . They transport lymphatic fluid away from tissues and deliver it back into your bloodstream.,,,"arm pain, neck swelling",,"How do healthcare providers diagnose lymphangitis? First, a healthcare provider will do a physical exam . This involves looking at your skin and feeling around your lymph nodes for swelling. To confirm a diagnosis, they may also recommend a: Skin culture test to determine the presence of pathogens like bacteria, viruses or fungi. Skin biopsy to determine the cause of swollen lymph nodes . Blood culture to find out if infection has spread to your blood (sepsis).","1.0, 1.0",,https://my.clevelandclinic.org/health/diseases/25234-lymphangitis,,FALSE,,,,,
430,lymphedema,N/A,,,"foot or toe swelling, throat swelling, lymphedema, fluid retention, skin lesion",,N/A,"0.669, 0.667, 0.649, 0.534, 0.526",,N/A,,FALSE,,,,,
431,lymphogranuloma venereum,"Lymphogranuloma venereum (LGV) is a sexually transmitted disease (STD). The first stage of LGV causes genital blisters. The second stage of LGV leads to swollen, painful lymph nodes in your groin, pelvis or rectum.",,,"ear pain, knee lump or mass, sore throat",,"How is lymphogranuloma venereum diagnosed? Your healthcare provider will first ask about your symptoms and sexual history. They will then do a physical examination . If they suspect LGV, they may suggest tests including: Blood test, which looks for antibodies against chlamydia trachomatis . Nucleic acid amplification test (NAAT), which looks for chlamydia trachomatis in a sample taken from your groin, rectum or lymph node. Providers tend to diagnose men in the earlier stages and women in the later stages of the condition.","0.95, 0.85, 0.55",,https://my.clevelandclinic.org/health/diseases/22465-lymphogranuloma-venereum-lgv,,FALSE,,,,,
